topic,t,lost,matches,inliers,features,icp_inliers_ratio,local_map_size
/rtabmap/odom_info_lite,1780715179.919945240,0,0,0,0,0.322013,0
/rtabmap/odom_info,1780715179.920663118,0,0,0,0,0.322013,0
/rtabmap/odom_info_lite,1780715180.121087790,0,0,0,0,0.332121,0
/rtabmap/odom_info,1780715180.121706963,0,0,0,0,0.332121,0
/rtabmap/odom_info_lite,1780715180.294091463,0,0,0,0,0.352221,0
/rtabmap/odom_info,1780715180.294774055,0,0,0,0,0.352221,0
/rtabmap/odom_info_lite,1780715180.442290545,0,0,0,0,0.343327,0
/rtabmap/odom_info,1780715180.443685293,0,0,0,0,0.343327,0
/rtabmap/odom_info_lite,1780715180.621430874,0,0,0,0,0.329589,0
/rtabmap/odom_info,1780715180.621897936,0,0,0,0,0.329589,0
/rtabmap/odom_info_lite,1780715180.758798122,0,0,0,0,0.343962,0
/rtabmap/odom_info,1780715180.760010004,0,0,0,0,0.343962,0
/rtabmap/odom_info_lite,1780715180.982754230,0,0,0,0,0.328993,0
/rtabmap/odom_info,1780715180.983193636,0,0,0,0,0.328993,0
/rtabmap/odom_info_lite,1780715181.236241102,0,0,0,0,0.319785,0
/rtabmap/odom_info,1780715181.237441063,0,0,0,0,0.319785,0
/rtabmap/odom_info_lite,1780715181.427567244,0,0,0,0,0.319533,0
/rtabmap/odom_info,1780715181.428353786,0,0,0,0,0.319533,0
/rtabmap/odom_info_lite,1780715181.629567385,0,0,0,0,0.319027,0
/rtabmap/odom_info,1780715181.631990194,0,0,0,0,0.319027,0
/rtabmap/odom_info_lite,1780715181.794984818,0,0,0,0,0.313428,0
/rtabmap/odom_info,1780715181.795888901,0,0,0,0,0.313428,0
/rtabmap/odom_info_lite,1780715181.907782793,0,0,0,0,0.304258,0
/rtabmap/odom_info,1780715181.908494711,0,0,0,0,0.304258,0
/rtabmap/odom_info_lite,1780715182.110557318,0,0,0,0,0.308481,0
/rtabmap/odom_info,1780715182.111700296,0,0,0,0,0.308481,0
/rtabmap/odom_info_lite,1780715182.245020390,0,0,0,0,0.323756,0
/rtabmap/odom_info,1780715182.246595383,0,0,0,0,0.323756,0
/rtabmap/odom_info_lite,1780715182.454543352,0,0,0,0,0.312998,0
/rtabmap/odom_info,1780715182.458864212,0,0,0,0,0.312998,0
/rtabmap/odom_info_lite,1780715182.624980688,0,0,0,0,0.302899,0
/rtabmap/odom_info,1780715182.625607014,0,0,0,0,0.302899,0
/rtabmap/odom_info_lite,1780715182.786976814,0,0,0,0,0.316320,0
/rtabmap/odom_info,1780715182.787402391,0,0,0,0,0.316320,0
/rtabmap/odom_info_lite,1780715182.999617338,0,0,0,0,0.304646,0
/rtabmap/odom_info,1780715183.000412464,0,0,0,0,0.304646,0
/rtabmap/odom_info_lite,1780715183.202244759,0,0,0,0,0.299217,0
/rtabmap/odom_info,1780715183.203240633,0,0,0,0,0.299217,0
/rtabmap/odom_info_lite,1780715183.377194881,0,0,0,0,0.312953,0
/rtabmap/odom_info,1780715183.377709389,0,0,0,0,0.312953,0
/rtabmap/odom_info_lite,1780715183.497128248,0,0,0,0,0.287659,0
